lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
5,S,170,W,,,,,,600.603,,,583.36,300.256,192.332,,158.856,998.771,143.95,156.475,91.897,382.623,1196.509,567.146,709.246,107.659,607.396,537.231,334.087,2192.039,968.133,300.182,324.243,1610.886,1495.861,337.505,2218.924,1575.279,1312.491,1836.299,938.454,1061.852,987.415,1154.158,921.589,501.501,1719.793,1765.247,1575.081,702.21,833.995,2479.281
5,S,165,W,,,,,,191.614,351.203,,437.427,566.249,159.588,274.673,,1266.29,,586.379,86.979,432.134,1285.225,478.994,71.778,156.469,116.708,,123.44,3479.052,1265.648,118.914,357.967,2118.554,1551.448,338.699,1605.116,376.234,1374.849,1345.082,548.671,1226.958,770.225,912.092,942.916,568.692,1223.313,1858.203,1823.13,339.676,778.496,1280.362
5,S,160,W,,,,,,,,,268.228,323.4,,409.874,261.407,1281.006,62.982,1288.261,70.964,,1479.464,535.356,248.607,76.034,295.069,,211.227,1620.762,1490.939,299.118,602.26,1050.815,1370.164,844.081,728.615,328.703,788.038,1618.291,2171.998,1425.28,624.777,1148.368,1564.203,186.144,319.726,1459.31,1673.285,389.593,1140.425,2838.694
5,S,155,W,,,,,,,,,,,,806.781,145.427,1387.724,851.681,1280.155,358.545,,795.887,1153.303,73.858,541.895,698.707,,,2106.765,1557.017,379.267,888.971,932.866,1228.178,491.262,1082.517,225.898,934.065,2879.76,1961.787,1436.994,427.149,1522.46,2292.982,873.013,320.866,1948.69,3029.73,984.185,2615.786,2625.902
5,S,150,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,S,145,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,S,140,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,S,135,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,N,105,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,N,110,E,,,,296.606,524.187,321.568,136.945,,589.409,434.61,593.6,1020.845,763.489,1181.85,709.84,969.534,1276.868,2668.471,1968.959,2210.79,1647.691,2464.516,2086.475,2989.667,2722.949,3822.011,5268.778,3370.413,2660.833,2272.938,2420.003,1845.024,1845.245,1649.915,1585.459,1221.681,994.319,1442.376,1635.998,1310.41,1136.698,1415.714,1940.343,1307.554,1144.32,1686.581,1059.061,1605.722
